Table 1
Тип наблюдения;ФИО;Категория наблюдения;Дата;Время;Организация;Какие возможные последствия наблюдения или преимущества хорошей практики / вашего предложения?;Какие меры вы предприняли?;Производилась ли остановка работ?;Какие действия вы предприняли для поощрения хорошей практики?;Обсудили ли вы небезопасное действие / небезопасное поведение с наблюдаемым?;Сообщили ли ответственному лицу?;Кому вы сообщили о наблюдении? (Обязательно к заполнению для небезопасного действия/ небезопасного поведения/опасного фактора / опасного случая);Было ли небезопасное условие / поведение исправлено и опасность устранена?;Фото/Документы с места выявления несоответствия или предложения;Опишите ваше наблюдение/предложение;
Небезопасное действие;Виолетов Сакур Нарциссович;Наряд-допуск / Оценка риска, СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций;11/27/25 5:00;11/27/25 15:20;"ТОО ""Весенний Крокус""";Работники при выполнении работ повышенной опасности (работы на высоте), не имели на рабочем месте наряда допуска на выполнение работ, отсутствовало заземление на лесах, не применяли СИЗ (защитные очки), противогаз находился на небезопасном расстоянии.;Остановил и отстранил работников от проведения работ, до устранения нарушения.;TRUE;Провел разъяснительную беседу об опасности выполнения работ.;TRUE;TRUE;Мастеру участка и инженеру по БиОТ.;TRUE;;;
Небезопасное условие ;Розанов Ирис Астрович;Санитарно-бытовые помещения;11/26/25 5:00;11/27/25 19:14;"ТОО ""Изумрудный Папоротник""";Модуль ғимаратында жылытқыш пеш қосатын розетка балқыған ;Кезекші электрик маманына, ЭЦ шеберіне ескертілді. ;FALSE;Жылу пештерінің қуатын орта деңгейде ұстау ;TRUE;TRUE;Бөлімше бастығына хабарланды. ;TRUE;;;
Небезопасное поведение;Розанов Тюльпан Астрович;Переносное оборудование / Ручные инструменты, Машины и оборудование, Проскальзывание / Спотыкание / Падение, Падающие предметы, Монтажные и грузоподъемные работы, Наряд-допуск / Оценка риска;12/12/25 5:00;12/20/25 14:35;"ТОО ""Белоснежная Азалия""";Жалпы шеберлері қауіпсіздікті сақтап ондай жұмыстарды асығыс жасатпау керек.;Трактор жүогізушіге ескерту жасадым.;TRUE;Нет данных;FALSE;TRUE;Мердігер мекемесінің шеберіне;TRUE;;;
Небезопасное действие;Маргаритов Вербен Маргаритович;Машины и оборудование, Проскальзывание / Спотыкание / Падение;12/13/25 5:00;12/20/25 21:45;"ТОО ""Алтын Бәйшешек""";Жұмыс жасағанда эксковаторда артық адам отыруға болмайды, себебі жарақат алу қауіпі бар. Қадағалау керек жұмыстарды.;Эксковатор тракторын тоқтатып  жүргізушіге ескерту жасадым артық адам отырып жұмыс жасауға болмайды деп.;TRUE;Нет данных;TRUE;TRUE;Инженеру ОТ и ТБ;TRUE;;;
Небезопасное действие;Сакуров Камелий Гортензиевич;Наряд-допуск / Оценка риска, Выполнение требований инструкций;11/27/25 5:00;11/27/25 14:20;"ТОО ""Көктем Гүлі""";При выполнении работ повышенной опасности (работы на высоте), отсутствовали фамилии работников в наряде- допуске. ;Остановил и отстранил работников от проведения работ, до устранения нарушения.;TRUE;Провел разъяснительную беседу об опасности выполнения работ повышенной опасности.;TRUE;TRUE;"Инженеру по БиОТ ТОО ""Элкон"" и Начальнику ТВС.";TRUE;;;
Небезопасное условие ;Георгинов Нарцисс Гортензиевич;Аварийное реагирование / Готовность к ЧС, Проскальзывание / Спотыкание / Падение, Целостность объекта / Оборудования;12/13/25 5:00;12/20/25 23:45;"ТОО ""Жемчужная Фрезия""";Септиктермен жұмыс жасаған кезде люгін дұрыстап жабу керек.;№231 ұнғының септигінің люгін орнына қойып дұрыстап жаптым себебі адамдардың құлап қалу қауіпі бар.;FALSE;Нет данных;FALSE;TRUE;Цех бастығына;TRUE;;;
Небезопасное действие;Мелиссов Магнолий Астрович;Машины и оборудование, Проскальзывание / Спотыкание / Падение, Падающие предметы, Монтажные и грузоподъемные работы, Наряд-допуск / Оценка риска;12/13/25 5:00;12/20/25 15:55;"ТОО ""Лазурный Дельфиниум""";Жүк көтеру жұмыстары кезінде жүк көтергіш ілгегіш тірегін дұрыстап іліп жабу керек. Себебі ілгіштен шығып кеткен кезде жарақат алу қауіпі бар.;Жүк көтеру жұмыстарын тоқтатып жүк басын байлаушыға ескерту жасап жүк көтергіштін ілгегін тірегішін дұрыс жапқыздым.;TRUE;Нет данных;TRUE;TRUE;Цех бастығына хабарланды;TRUE;;;
Небезопасное условие ;Азалиев Магнолий Лотосович;Проскальзывание / Спотыкание / Падение;11/27/25 5:00;11/27/25 18:00;"ТОО ""Розовый Флокс""";Булап тазалау.;Шеберге ескертілді.;TRUE;Тазаланды;TRUE;TRUE;Нет данных;TRUE;;;
Небезопасное действие;Лавандов Мелисс Нарциссович;СИЗ / Средства по обеспечению безопасности;9/28/25 5:00;11/27/25 19:30;"ТОО ""Сафлоровый Рассвет""";№2 МӨЦ ДНС қарасты №3 қазан түбін жөндеуге, сварка жұмыстарына дайындау, тазалау кезінде ЖШС «FTC WIN» қызметкері арнайы көзілдіріксіз жүргенін көріп, жұмыс барысында болатын ықтимал қауіптер туралы түсінік берілді.;Нет данных;FALSE;Нет данных;FALSE;FALSE;Нет данных;FALSE;Қорғау картасы бойынша бланк — 30.09.25..docx,c8b93d7fd7654fae853ec69a57ecc7b6;;
Небезопасное действие;Сакуров Азалий Вербенович;Поддержание чистоты и порядка;11/27/25 5:00;11/27/25 14:45;"ТОО ""Медовая Астра""";Көлік жуу орнының айналасын тазалау.;Шашылған қоқыстарды тазалау.;FALSE;Гараж-2 аумағын таза ұстау өз міндетіміз, мекемемізді көркеюуіне ат саласу.;TRUE;TRUE;Шеберге;TRUE;;;
Небезопасное поведение;Лавандов Маргарит Гортензиевич;СИЗ / Средства по обеспечению безопасности;11/27/25 5:00;11/27/25 19:40;"ТОО ""Тайный Бутон""";Көлікті жөндеу кезінде дулығасыз жүргенін байқап,ескертіп айтылды;Жұмысшыға ескертілді;FALSE;Үнемі дулығасын киіп жүруге ескртіп айттым;FALSE;TRUE;Жөндеу шеберіне айттым;TRUE;;;
Опасный фактор;Пионов Камелий Хризантемович;Вывешивание плакатов, Знаки безопасности / Предупредительные таблички, Охрана окружающей среды, Поддержание чистоты и порядка, Электрооборудование, Выполнение требований инструкций, Переносное оборудование / Ручные инструменты, СИЗ / Средства по обеспечению безопасности, Наряд-допуск / Оценка риска, Проскальзывание / Спотыкание / Падение;12/19/25 5:00;12/20/25 15:15;"ТОО ""Цветущий Миндаль""";Работа производятся по распоряжению, целевой инструктаж проведён. Замечаний нет.;Нет данных;TRUE;Нет данных;TRUE;TRUE;Нет данных;TRUE;;;
Опасный фактор;Жасминов Лилий Сакурович;Вывешивание плакатов, Знаки безопасности / Предупредительные таблички, Охрана окружающей среды, Поддержание чистоты и порядка, Электрооборудование, Выполнение требований инструкций, Переносное оборудование / Ручные инструменты, СИЗ / Средства по обеспечению безопасности, Наряд-допуск / Оценка риска, Проскальзывание / Спотыкание / Падение;12/19/25 5:00;12/20/25 15:15;"ТОО ""Полевой Клевер""";Работа производятся по распоряжению, целевой инструктаж проведён. Замечаний нет.;Нет данных;TRUE;Нет данных;TRUE;TRUE;Нет данных;TRUE;;;
Небезопасное действие;Лотосов Камелий Маргаритович;Вождение;11/27/25 5:00;11/27/25 15:00;"ТОО ""Огненная Георгина""";Установлено, что водитель автотранспортного средства осуществлял перевозку пассажиров, не пристегнувших ремни безопасности;Водитель был остановлен и отстранён от дальнейшего движения автотранспортного средства до полного устранения выявленного нарушения.;TRUE;Проведена разъяснительная беседа с водителем об опасностях и возможных последствиях нарушения требований безопасности.;TRUE;TRUE;Инженеру по БиОТ подр орг;TRUE;;;
Небезопасное действие;Магнолиев Астрон Пионович;СИЗ / Средства по обеспечению безопасности;11/27/25 5:00;11/27/25 14:30;"ТОО ""Сияющая Примула""";Зафиксировано, что при выполнении работ повышенной опасности работник находился без средств индивидуальной защиты — (защитные очки) .;Остановил работу до устранения нарушения;TRUE;Проведена разъяснительная беседа о потенциальной опасности получения травм и возможной потере зрения при несоблюдении правил безопасности.»;TRUE;TRUE;Инженеру по БиОТ ;TRUE;;;
Небезопасное действие;Лотосов Камелий Жасминович;Выполнение требований инструкций;11/27/25 5:00;11/27/25 16:00;"ТОО ""Гармония Лилий""";Выявлен случай нарушения правил безопасности дорожного движения: работник подрядной организации переходил дорогу в неположенном месте, что могло создать опасную ситуацию;Работнику сделано устное замечание за нарушение правил безопасности дорожного движения.;TRUE;Провёл разъяснительную беседу с работником о рисках и опасностях, связанных с несоблюдением правил дорожного движения.;TRUE;TRUE;Инженеру по БиОТ ;TRUE;;;
Небезопасное действие;Лилиев Георгин Вербенович;Земляные работы;9/20/24 5:00;11/27/25 8:50;"ТОО ""Шёлковый Пион""";Текст;Текст;FALSE;Текст;FALSE;TRUE;Текст;TRUE;;;
Небезопасное поведение;Астров Магнолий Лотосович;;11/27/25 5:00;11/27/25 23:03;"ТОО ""Японская Сакура""";"49-Н3192/12 артқы оң жақ жарық шамы жанбайды.
Аға механик Карпыков Ғалымжанға айтылып ескертілді";Нет данных;FALSE;Нет данных;TRUE;TRUE;Аға механик Карпыков Галымжанға айтылып ескертілді;FALSE;;;
Небезопасное поведение;Маргаритов Лаврентий Сакурович;;11/27/25 5:00;11/27/25 21:40;"ТОО ""Лунная Орхидея""";"28-1105/12 көлігінің алдыңғы бұрылыс шамы жанбайды
Жауапты аға механик Кушкинбаев Бакытқа айтылып ескертілді";Нет данных;FALSE;Нет данных;FALSE;TRUE;Аға механик Кушкинбаев Бакытқа айтылып ескертілді;FALSE;;;
Небезопасное условие ;Гортензиев Маргарит Ирисович;Проскальзывание / Спотыкание / Падение;12/20/25 5:00;12/20/25 15:20;"ТОО ""Садовый Гиацинт""";На территории закреплённой за компрессорной станцией наличие скользких мест, что может привести к травматизму.;Дал распоряжение старшему машинисту посыпать песком данные участки.;FALSE;Нет данных;TRUE;FALSE;Старшему машинисту.;TRUE;bf128ffe-d93f-4135-8d93-b2c04f9ca728.jpeg,18b156c0f68e4f13842ab586e0d204c7;;
Хорошая практика;Магнолиев Жасмин Тюльпанович;Наряд-допуск / Оценка риска, Целостность объекта / Оборудования;11/27/25 5:00;11/27/25 16:49;"ТОО ""Белый Лотос KZ""";Провел наблюдение. Предложении нету;Доложил начальнику участка;FALSE;Доложил начальнику участка;TRUE;TRUE;Доложил начальнику участка;TRUE;;;
Хорошая практика;Камелиев Лилий Лавандович;Вывешивание плакатов;11/23/25 5:00;11/28/25 14:35;"ТОО ""Ароматный Мирт""";№1 бекетте жол белгісі желден ,соққыдан қисайып қалған, отіп жатқан көліктер мен жолаушы адамдарға көрінбейді.;Жол белгісін суырып алып тұрба астын қайта қазып ,орналастырып бекіттік.;FALSE;Жол белгілерін орнату.;TRUE;TRUE;ҚЖЦ шебері Кезенбаев Б.;TRUE;;;
Хорошая практика;Жасминов Пион Азалиевич;Рабочее место / Эргономика;11/27/25 5:00;11/28/25 20:00;"ТОО ""Цветочный Бриз""";УЖЭО . КТП. ДЭС. Орнатылған ДЭС айналасын шарбақбен қоршау үшін темір бағандарын орнату ;Шарбақ тұрбасын орнату үшін шұңқырлар қазып ,тұрбаны орнаттық, шарбақ ішіне мал,адам кіріп кетпес үшін.;TRUE;Қауіпті аймаққа мал,адам кірмеу үшін.;TRUE;TRUE;УЖЭО тнженері Кожаахметов Б;TRUE;;;
Небезопасное действие;Лилиев Магнолий Вербенович;Падающие предметы;11/25/25 5:00;11/28/25 19:14;"ТОО ""Небесная Камелия""";ҚЖЦ . База шарбағының сыртқы темір есігінің топсасы сынған,дұрыс жабылмайды.;ҚЖЦ . Темір есіктің сынған топсасын дәнекерлеу аппаратымен орнына дәнекерленді .;TRUE;Сынған темір есік топсасы дәнекереленді.;TRUE;TRUE;ҚЖЦ прорабы Аленов О;TRUE;;;
Небезопасное действие;Фиалков Ирис Георгинович;Выполнение требований инструкций, Электрооборудование;12/15/25 5:00;12/20/25 16:30;"ТОО ""Степной Шалфей""";Установить заземление согласно требованиям электробезопасности и всегда вести контроль.;Работы приостановлены до устранения нарушения. Дано указание операторам ПРС немедленно установить заземление.;TRUE;Нет данных;TRUE;TRUE;Руководству ЦПРС;TRUE;;;
Небезопасное условие ;Орхидеев Мелисс Орхидеевич;Рабочее место / Эргономика;11/24/25 5:00;11/28/25 19:00;"ТОО ""Грация Гортензии""";Нет данных;Есікті ашып ,орнына жаңа құлып орнатылды ;TRUE;Жаңа құлып орнатылды;TRUE;TRUE;ЖСБ басшы орынбасары Захаров М;TRUE;;;
Небезопасное условие ;Астров Нарцисс Азалиевич;Электрооборудование;11/28/25 5:00;11/28/25 15:00;"ТОО ""Пудровая Роза""";При обходе скважин было выявлено что на ЭКМ-е не присоединен кабель заземления что не обеспечивает безопаность обслуживающего персонала;Предупредил слесарей КИПиА а также проконтролировал подключение заземляющего кабеля;FALSE;Нет данных;TRUE;TRUE;Мастеру ЦАП а также обслуживающему персоналу;TRUE;;;
Предложение (инициатива);Хризантемов Мелисс Флорович;Электрооборудование;6/11/25 5:00;11/28/25 20:00;"ТОО ""Золотой Подсолнух""";При анализе и работ по телеметрии добывающих скважин, было обнаружено плохая связь между устройствами передачи данных и базовой станции;При визуальном осмотре было выявлено что на некоторых скважинах, антенны для передачи данных расположены таким образом что нет прямой видимости базовых станции, отчего не все пакеты данных передаются успешно. Было принято решение переместить антенны так чтобы была прямая видимость. Подрядчик был уведомлен и принялся за работу ;FALSE;Нет данных;TRUE;TRUE;Главному из специалистов подрядной организации;TRUE;;;
Хорошая практика;Ирисов Хризантем Хризантемович;Электрооборудование;11/24/25 5:00;11/28/25 12:40;"ТОО ""Кристальный Ирис""";Машиниста т/н был замечен посторонний шум в эл.двигателе п-1/2(операторная ссб). Эл.двигатель п-1/2 был выведен в ремонт.;Сообщил начальнику участка ;TRUE;Похвалил ;TRUE;TRUE;.;TRUE;;;
Хорошая практика;Фиалков Пион Фиалкович;Электрооборудование;11/24/25 5:00;11/28/25 12:40;"ТОО ""Лепесток Удачи""";Машиниста т/н был замечен посторонний шум в эл.двигателе п-1/2(операторная ссб). Эл.двигатель п-1/2 был выведен в ремонт.;Сообщил начальнику участка ;TRUE;Похвалил ;TRUE;TRUE;.;TRUE;;;
Хорошая практика;Гортензиев Лилий Маргаритович;Поддержание чистоты и порядка;11/20/25 5:00;11/28/25 15:00;"ТОО ""Рассветная Лаванда""";Бригадой 1 была собрана и убрана трава в п27-7 Р-3 в соответствии инструкции содержания территории в чистоте ;Сообщил нач.участка;TRUE;Похвалил ;TRUE;TRUE;Нет данных;TRUE;;;
Небезопасное поведение;Вербенов Нарцисс Розанович;Транспортировка;11/28/25 5:00;11/28/25 12:10;"ТОО ""Цветущий Олеандр""";24-H750349 а/көлігінің арты оң жақ жарық шамы жанбайды. ;Аға механик Карпыков Г айтылып ескертілді.;FALSE;Нет данных;TRUE;TRUE;Аға механик Карпыков Г.;TRUE;;;
Небезопасное условие ;Тюльпанов Тюльпан Астрович;Машины и оборудование;11/28/25 5:00;11/28/25 15:30;"ТОО ""Весенний Букет""";Устранить пропуск через сальниковое уплотнения вентиля ВМ Ду20 Ру160 гребенки в венткамере №1;Выдан Акт по соблюдению требований промышленной безопасности ТОО «ПКОП» в цехе №1;FALSE;Не применялось, так как нарушение являлось незначительным ;TRUE;TRUE;Начальник С-100;TRUE;;;
Небезопасное действие;Розанов Хризантем Лилиевич;Транспортировка;11/28/25 5:00;11/28/25 14:30;"ТОО ""Флора Капитал""";разгрузка нефтепромыслового оборудования;Продемонстрировано правильное использование  захватных приспособлений.;FALSE;предупреждение;TRUE;TRUE;Собщено мастеру. ;TRUE;;;
Небезопасное условие ;Камелиев Мелисс Сакурович;Поддержание чистоты и порядка;11/28/25 5:00;11/28/25 15:37;"ТОО ""Бархатный Тюльпан""";Убрать посторонние предметы и держать в чистоте насосное оборудование Н-229 на С-200. ;"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в цехе №1";FALSE;Не требуется, так как нарушение является незначительным ;TRUE;TRUE;Механик С-200;TRUE;;;
Небезопасное условие ;Виолетов Астрон Орхидеевич;Выполнение требований инструкций, Проскальзывание / Спотыкание / Падение, Опасные природные явления / Погодные условия;12/16/25 5:00;12/22/25 19:20;"ТОО ""Алый Тюльпан""";Из-за повышение температуры окружающей среды образовались наледь.;Дал команду старшим смен участков посыпать песком в местах передвижения персонала.;TRUE;Нет данных;TRUE;TRUE;Старшим смен на участках.;TRUE;;;
Небезопасное действие;Георгинов Жасмин Георгинович;СИЗ / Средства по обеспечению безопасности;12/17/25 5:00;12/24/25 16:10;"ТОО ""Белая Роза""";"""Тополь"" ЖШС мердігерлік компаниясының жұмысшысы Куспангалиев Муратбек ""Шманова МАС"" аумағында қорғаныш бас киімінсіз жұмыс жасап жүруіне байланысты ескерту жасалған.";Ескерту жасалды;FALSE;Еңбек қауіпсіздігін сақтауға;TRUE;TRUE;Нысан бастығына;TRUE;;;
Опасный фактор;Маргаритов Орхидей Лавандович;Работы на высоте / Строительные леса;12/22/25 5:00;12/24/25 14:00;"ТОО ""Золотая Лилия""";Жасқайрат вышкасы телеметрия құрылғыларына техникалық қызмет көрсету процессіне тікелей кедергі келтіреді. Вышка конструкция элементтерінің ажырап кету қауіпі жоғары. Босап немесе ажырап кеткен болттар мен металл бөліктерінің төменге құлау ықтималдылығы бар. Қызметкерлердің өмірі мен денсаулығына тікелей қауіп төнеді.;НГДУ 1 басшысына хат жазылды;FALSE;Жасқайрат вышкасы телеметрия құрылғыларына техникалық қызмет көрсету процессіне тікелей кедергі келтіреді. Вышка конструкция элементтерінің ажырап кету қауіпі жоғары. Босап немесе ажырап кеткен болттар мен металл бөліктерінің төменге құлау ықтималдылығы бар. Қызметкерлердің өмірі мен денсаулығына тікелей қауіп төнеді.;TRUE;TRUE;НГДУ 1 басшысына;FALSE;ЖасҚайрат фото.PDF,2de3757ffa1a4691b35e695cd5b1a136;;
Небезопасное поведение;Нарциссов Георгин Лотосович;Электрооборудование;12/22/25 5:00;12/22/25 16:58;"ТОО ""Лавандовый Рассвет""";Шит ашып сөндіріп жатыр оператор;Жакындамауын айттым келесіде қайталаньауын түсіндірдім;FALSE;Инженер тб ға ескертім;TRUE;TRUE;Зам ночальникке айттым;TRUE;;;
Небезопасное поведение;Виолетов Тюльпан Лавандович;Выполнение требований инструкций;11/28/25 5:00;11/28/25 14:28;"ТОО ""Синяя Орхидея""";Қауіпсіздік талаптарын сақьау;Жұмысшыға ескерту;FALSE;Қауіпсіздік талаптарын сақтап жүруін түсіндірдім;TRUE;TRUE;Жөндеу шеберіне айттым;TRUE;;;
Небезопасное действие;Вербенов Фиал Георгинович;Выполнение требований инструкций;11/28/25 5:00;11/28/25 15:41;"ТОО ""Пурпурный Ирис""";Отсутствуют лейблы и указать красную черту, указывающую на рабочее давление на манометрах насосов Н-414, Н-424 на С-400;"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в цехе №1";FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Механик С-400;TRUE;;;
Небезопасное действие;Азалиев Ирис Магнолиевич;Проскальзывание / Спотыкание / Падение;11/28/25 5:00;11/28/25 21:00;"ТОО ""Нежная Фиалка""";Лестницы для поднятие работников на борт полу прицепа машины марки  МАЗ.;Заменено на новую.;FALSE;Нет данных;TRUE;TRUE;Мастеру БПО№1;FALSE;;;
Небезопасное действие;Мелиссов Лилий Хризантемович;Рабочее место / Эргономика;11/28/25 5:00;11/28/25 15:35;"ТОО ""Солнечный Подсолнух""";2 жөндеу боксындағы жөндеу жұмыстарын қадағаладым.;Жұмысты тоқтатып, қауіпсіз жұмыс жасау үшін, көлік дқкгелегіне башмак тіреу керектігін түсіндірдім.;TRUE;Нет данных;TRUE;TRUE;2- бокстың жөндеу шеберіне хабарладым.;TRUE;;;
Небезопасное условие ;Жасминов Гортензий Магнолиевич;Вывешивание плакатов;11/28/25 5:00;11/28/25 15:45;"ТОО ""Весенний Пион""";"Неиспользуемый ГПМ над LO-1004 не оборудован лентой и надписью «Не используется», также необходимо обесточить.
";"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в цехе №3
";FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Механик С-1000;TRUE;;;
Небезопасное условие ;Хризантемов Маргарит Сакурович;Целостность объекта / Оборудования;11/28/25 5:00;11/28/25 15:48;"ТОО ""Горная Эдельвейс""";Устранить пропуск через сальниковое уплотнения на насосных агрегатах Н-1317, Н-1307 и Н-1308;"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в цехе №3
";FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Механику Мерокс;TRUE;;;
Небезопасное действие;Лавандов Лотос Гортензиевич;Знаки безопасности / Предупредительные таблички, Машины и оборудование;11/28/25 5:00;11/28/25 15:50;"ТОО ""Дикая Ромашка""";Отсутствуют лейблы и указать красную черту, указывающую на рабочее давление на манометрах насосов Н-1603 и Н-1601;"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в цехе №3
";FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Механик Merox;TRUE;;;
Небезопасное действие;Жасминов Азалий Мелиссович;Целостность объекта / Оборудования;11/28/25 5:00;11/28/25 15:40;"ТОО ""Серебряный Лотос""";ДДТ-2, База аумағында орналасқан кабель салу лоток қақпағы ашық қалған.;Кезекші электромонтерға ескертілді, кабель лоток қақпақғы толықтай орнына жабылып бекітілді.;FALSE;Нет данных;TRUE;TRUE;Электроцех басшысына хабарланды;FALSE;;;
Небезопасное действие;Лотосов Лаврентий Нарциссович;Транспортировка;11/28/25 5:00;11/28/25 14:59;"ТОО ""Ясный Василёк""";Во время транспортировки винтового насоса, насос бросили на рабочую площадку. ;Попросил поднять винтовой насос и поставить на стеллаж, где хранятся ВН.  ;FALSE;Нет данных;TRUE;TRUE;Мастеру участка БПО-1;TRUE;;;
Небезопасное условие ;Георгинов Лаврентий Азалиевич;Вывешивание плакатов, Машины и оборудование;11/28/25 5:00;11/28/25 15:54;"ТОО ""Алая Гвоздика""";На территории КЦА-2, на грузоподъемных механизмах РТ-1901 и РТ-1950 отсутствует табличка ответственного за эксплуатацию ГПМ. ;Не требуется, так как нарушение является незначительным.;FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Механик КЦА-2;TRUE;;;
Небезопасное действие;Маргаритов Нарцисс Магнолиевич;Вождение;11/28/25 5:00;11/28/25 15:37;"ТОО ""Сакура Плюс""";Жүргізуші көлікті басқару кезінде арнайы СТОП жол белгісіне тоқтамай өтіп кеткендігі анықталды.;Жүргізушіге ескерту жасалды;TRUE;Қауіпсіздік ең басты міндет екенін түсіндіріп айттым, алдағы уақытта жол жүру ережелерінің белгілеріне аса мән беріп, ережені сақтау  керектігін түсіндірдім.;TRUE;TRUE;Автотізбек басшысына телефон арқылы ескертіп айттылды.;TRUE;;;
Небезопасное условие ;Камелиев Астрон Камелиевич;Вывешивание плакатов, Монтажные и грузоподъемные работы;11/28/25 5:00;11/28/25 15:58;"ТОО ""Южная Магнолия""";Восстановить информационные таблички перемещаемых грузов ГПМ-ов по участку ОСВПТиПК.;"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в Цехе ОСВПТиПК
";FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Мехник Цеха ОСВПТиПК;TRUE;;;
Небезопасное условие ;Ирисов Георгин Георгинович;Машины и оборудование;12/21/25 5:00;12/22/25 15:15;"ТОО ""Таёжный Жасмин""";107 - ұңғы тербелмелі станогының тежегіші істен шыққаны анықталды;Тез арада ұңғы тоқтатылып, ақаулары түзетілді ;TRUE;Нет данных;TRUE;TRUE;Цех басшысына;TRUE;;;
Небезопасное условие ;Ирисов Вербен Лавандович;Охрана окружающей среды;12/21/25 5:00;12/22/25 19:50;"ТОО ""Полевая Незабудка""";105-ұңғы сағасында СУСГ нығыздамасынан сұйықтық ағып жатқаны анықталды;Тез арада ұңғы тоқтатылып, нығыздамасы ауыстырылды;TRUE;Нет данных;TRUE;TRUE;Нет данных;TRUE;;;
Небезопасное действие;Лотосов Георгин Хризантемович;СИЗ / Средства по обеспечению безопасности;12/22/25 5:00;12/23/25 15:10;"ТОО ""Янтарная Хризантема""";"""StandartStroy KZ"" ЖШС мердігерлік компаниясының аумақ бастығы Қайырлыұлы Ербол ""Индер МАС"" аумағында рұқсат етілмеген жерде  ұялы телефон қолданғаны бойынша ескерту жасалды. ";Ескерту жасалды;FALSE;Еңбек қауіпсіздігін сақтауға;TRUE;TRUE;Нысан басшылығына;TRUE;;;
Небезопасное условие ;Сакуров Вербен Розанович;Целостность объекта / Оборудования, Охрана окружающей среды, Взрыво- и пожароопасность;12/8/25 5:00;12/25/25 2:30;"ТОО ""Тихая Камелия""";Показания манометра, установленного на технологическом трубопроводе л.620/12, находятся ниже границей разрешенного рабочего давления, обозначенного прикрепленной к корпусу манометра красной металлической пластинкой в виде стрелки.;Дал распоряжение старшему оператору проверить манометр, заменить на исправный, соблюдая по БиОТ, ГБ, ПБ.;FALSE;-;TRUE;TRUE;Начальнику установки С-001.;TRUE;;;
Небезопасное действие;Магнолиев Тюльпан Жасминович;Рабочее место / Эргономика;11/28/25 5:00;11/28/25 16:00;"ТОО ""Ночная Лаванда""";Жұмыс алаңының жартылай жапқыш төсеніші майысқан;Шеберге ескертілді,  жұмыс алаңының жартылай жапқыш төсеніші жөнделді;FALSE;Нет данных;TRUE;TRUE;ҰКЖЖ№2цех басшысына хабарланды;TRUE;;;
Небезопасное действие;Хризантемов Азалий Орхидеевич;Целостность объекта / Оборудования, Машины и оборудование;11/28/25 5:00;11/28/25 16:02;"ТОО ""Лесной Ландыш""";Требует замены крепежный элемент грундбуксы сальниковой камеры насоса поз. Н-30109.;"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в цехе ОСВПТиПК
";FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Мехник Цеха ОСВПТиПК;TRUE;;;
Небезопасное действие;Нарциссов Камелий Астрович;СИЗ / Средства по обеспечению безопасности;12/19/25 5:00;12/23/25 20:00;"ТОО ""Звёздный Амариллис""";"""StandartStroy KZ"" ЖШС мердігерлік компаниясының жұмысшы дәнекерлеушісі Авакумов Николай ""Индер МАС"" аумағында арнайы қорғаныш аяқ киімінсіз жүруіне байланысты ескерту жасалған.";Ескерту жасалды;FALSE;Еңбек қауіпсіздігін сақтауға;TRUE;TRUE;Нысан бастығына;TRUE;;;
Небезопасное условие ;Сакуров Лаврентий Маргаритович;Проскальзывание / Спотыкание / Падение;12/16/25 5:00;12/24/25 17:35;"ТОО ""Каспийский Тюльпан""";При обходе по периметру установки образованных скользких мест вследствие климатических изменений в районе воздуходувки В-403/1.;Дал распоряжение старшему оператору посыпать песком скользкие участки по периметру установки.;FALSE;-;TRUE;FALSE;-;TRUE;;;
Небезопасное условие ;Камелиев Флорен Камелиевич;Машины и оборудование, Рабочее место / Эргономика;11/28/25 5:00;11/28/25 16:05;"ТОО ""Степная Роза""";Неотчетливо видны указатели направления вращения  насосов поз: Н-1,2,3,4 в насосной станций 52.;"Выдан Акт проведения внутренних проверок по соблюдению требований
промышленной безопасности ТОО «ПКОП» в цехе ОСВПТиПК
";FALSE;Не требуется, так как нарушение является незначительным.;TRUE;TRUE;Мехник Цеха ОСВПТиПК;TRUE;;;
